election,state,district,incumbent,market_url
senate,north carolina,0,Republican,https://www.predictit.org/markets/detail/5808/Which-party-will-win-the-US-Senate-race-in-North-Carolina-in-2020
senate,kentucky,0,Republican,https://www.predictit.org/markets/detail/6575/Which-party-will-win-the-US-Senate-election-in-Kentucky-in-2020
senate,maine,0,Republican,https://www.predictit.org/markets/detail/5811/Which-party-will-win-the-US-Senate-election-in-Maine-in-2020
senate,alaska,0,Republican,https://www.predictit.org/markets/detail/6688/Which-party-will-win-the-US-Senate-election-in-Alaska-2020
senate,kansas,0,Republican,https://www.predictit.org/markets/detail/5781/Which-party-will-win-the-US-Senate-race-in-Kansas-in-2020
senate,south carolina,0,Republican,https://www.predictit.org/markets/detail/6706/Which-party-will-win-the-US-Senate-election-in-South-Carolina-in-2020
senate,alabama,0,Democratic,https://www.predictit.org/markets/detail/6183/Which-party-will-win-the-US-Senate-election-in-Alabama-in-2020
senate,new hampshire,0,Democratic,https://www.predictit.org/markets/detail/6795/Which-party-will-win-the-US-Senate-election-in-New-Hampshire-in-2020
senate,georgia,0,Republican,https://www.predictit.org/markets/detail/6651/Which-party-wins-the-regularly-scheduled-2020-US-Senate-election-in-Georgia
senate,west virginia,0,Republican,https://www.predictit.org/markets/detail/6837/Which-party-will-win-the-US-Senate-election-in-West-Virginia-in-2020
senate,iowa,0,Republican,https://www.predictit.org/markets/detail/6648/Which-party-will-win-the-US-Senate-election-in-Iowa-in-2020
senate,colorado,0,Republican,https://www.predictit.org/markets/detail/5810/Which-party-will-win-the-US-Senate-election-in-Colorado-in-2020
senate,mississippi,0,Republican,https://www.predictit.org/markets/detail/6839/Which-party-will-win-the-US-Senate-election-in-Mississippi-in-2020
senate,delaware,0,Democratic,https://www.predictit.org/markets/detail/6808/Which-party-will-win-the-US-Senate-election-in-Delaware-in-2020
senate,michigan,0,Democratic,https://www.predictit.org/markets/detail/6576/Which-party-will-win-the-US-Senate-election-in-Michigan-in-2020
senate,montana,0,Republican,https://www.predictit.org/markets/detail/6568/Which-party-will-win-the-US-Senate-election-in-Montana-in-2020
senate,new jersey,0,Democratic,https://www.predictit.org/markets/detail/6801/Which-party-will-win-the-US-Senate-election-in-New-Jersey-in-2020
senate,new mexico,0,Democratic,https://www.predictit.org/markets/detail/6752/Which-party-will-win-the-US-Senate-election-in-New-Mexico-in-2020
senate,minnesota,0,Democratic,https://www.predictit.org/markets/detail/6761/Which-party-will-win-the-US-Senate-election-in-Minnesota-in-2020
senate,wyoming,0,Republican,https://www.predictit.org/markets/detail/6797/Which-party-will-win-the-US-Senate-election-in-Wyoming-in-2020
senate,idaho,0,Republican,https://www.predictit.org/markets/detail/6810/Which-party-will-win-the-US-Senate-election-in-Idaho-in-2020
senate,louisiana,0,Republican,https://www.predictit.org/markets/detail/6813/Which-party-will-win-the-US-Senate-election-in-Louisiana-in-2020
senate,virginia,0,Democratic,https://www.predictit.org/markets/detail/6821/Which-party-will-win-the-US-Senate-election-in-Virginia-in-2020
senate,south dakota,0,Republican,https://www.predictit.org/markets/detail/6826/Which-party-will-win-the-US-Senate-election-in-South-Dakota-in-2020
senate,arkansas,0,Republican,https://www.predictit.org/markets/detail/6827/Which-party-will-win-the-US-Senate-election-in-Arkansas-in-2020
senate,illinois,0,Democratic,https://www.predictit.org/markets/detail/6830/Which-party-will-win-the-US-Senate-election-in-Illinois-in-2020
senate,nebraska,0,Republican,https://www.predictit.org/markets/detail/6832/Which-party-will-win-the-US-Senate-election-in-Nebraska-in-2020
senate,massachusetts,0,Democratic,https://www.predictit.org/markets/detail/6840/Which-party-will-win-the-US-Senate-election-in-Massachusetts-in-2020
senate,oklahoma,0,Republican,https://www.predictit.org/markets/detail/6841/Which-party-will-win-the-US-Senate-election-in-Oklahoma-in-2020
senate,rhode island,0,Democratic,https://www.predictit.org/markets/detail/6842/Which-party-will-win-the-US-Senate-election-in-Rhode-Island-in-2020
senate,oregon,0,Democratic,https://www.predictit.org/markets/detail/6786/Which-party-will-win-the-US-Senate-election-in-Oregon-in-2020
senate,texas,0,Republican,https://www.predictit.org/markets/detail/6788/Which-party-will-win-the-US-Senate-election-in-Texas-in-2020
senate,tennessee,0,Republican,https://www.predictit.org/markets/detail/6792/Which-party-will-win-the-US-Senate-election-in-Tennessee-in-2020
house,kansas,2,Republican,https://www.predictit.org/markets/detail/6836/Which-party-will-win-the-2020-House-race-in-Kansas'-2nd-District
house,georgia,6,Democratic,https://www.predictit.org/markets/detail/6766/Which-party-will-win-the-2020-House-race-in-Georgia's-6th-District
house,texas,22,Republican,https://www.predictit.org/markets/detail/6783/Which-party-will-win-the-2020-House-race-in-Texas'-22nd-District
house,maine,2,Democratic,https://www.predictit.org/markets/detail/6754/Which-party-will-win-the-2020-House-race-in-Maine's-2nd-District
house,new jersey,3,Democratic,https://www.predictit.org/markets/detail/6784/Which-party-will-win-the-2020-House-race-in-New-Jersey's-3rd-District
house,iowa,2,Democratic,https://www.predictit.org/markets/detail/6789/Which-party-will-win-the-2020-House-race-in-Iowa's-2nd-District
house,iowa,1,Democratic,https://www.predictit.org/markets/detail/6782/Which-party-will-win-the-2020-House-race-in-Iowa's-1st-District
house,georgia,7,Republican,https://www.predictit.org/markets/detail/5253/Which-party-will-win-the-2020-House-of-Reps-race-in-Georgia's-7th-district
house,california,25,Republican,https://www.predictit.org/markets/detail/6713/Which-party-will-win-the-2020-House-race-in-California's-25th-district
house,south carolina,1,Democratic,https://www.predictit.org/markets/detail/6753/Which-party-will-win-the-2020-House-race-in-South-Carolina's-1st-District
house,illinois,13,Republican,https://www.predictit.org/markets/detail/6791/Which-party-will-win-the-2020-House-race-in-Illinois'-13th-District
house,new york,11,Democratic,https://www.predictit.org/markets/detail/6794/Which-party-will-win-the-2020-House-race-in-New-York's-11th-District
senate,arizona,0,Republican,https://www.predictit.org/markets/detail/5809/Which-party-will-win-the-US-Senate-special-election-in-Arizona-in-2020
